"","reg_id","short_title","long_title","xml_url","ConsolidationDate","RegistrationDate","LastAmendedDate","enablingauthority","repealed","incorp_references","wordcount","PRESCRIPTIVITY_prescriptions_RawCount","PRESCRIPTIVITY_permissions_RawCount","PRESCRIPTIVITY_prescriptions_Index","PRESCRIPTIVITY_permissions_Index","PRESCRIPTIVITY_Index","FLEXIBILITY_exceptions_RawCount","FLEXIBILITY_discretions_RawCount","FLEXIBILITY_exceptions_Index","FLEXIBILITY_discretions_Index","COMPLEXITY_legal_jargon_RawCount","COMPLEXITY_legal_jargon_Index","COMPLEXITY_cross_referencing_RawCount","COMPLEXITY_cross_referencing_Index","AGE_DaysLastModified","AGE_outdated_words_RawCounts","AGE_outdated_words_Index"
"1","C.R.C., c. 10","Flying Accidents Compensation Regulations","Regulations Prescribing Compensation for Bodily Injury or Death Resulting from Flights Undertaken in the Course of Duty","ftp://205.193.86.89/Consolidation_Regs_1.2.0/EN/C.R.C.,_c._10.xml","1977-12-31",NA,1977-12-31,"AERONAUTICS ACT","no","0",974,7,4,0.718685831622177,0.410677618069815,1.6,2,0,0.205338809034908,0,5,0.513347022587269,11,1.12936344969199,14888,35,3.59342915811088
"3","C.R.C., c. 101","Penticton Airport Zoning Regulations","Regulations Respecting Zoning at Penticton Airport","ftp://205.193.86.89/Consolidation_Regs_1.2.0/EN/C.R.C.,_c._101.xml","1977-12-31",NA,1977-12-31,"AERONAUTICS ACT","no","0",1453,1,2,0.0688231245698555,0.137646249139711,0.666666666666667,3,0,0.206469373709566,0,0,0,6,0.412938747419133,14888,8,0.550584996558844
"6","C.R.C., c. 102","Pitt Meadows Airport Zoning Regulations","Regulations Respecting Zoning at Pitt Meadows Airport","ftp://205.193.86.89/Consolidation_Regs_1.2.0/EN/C.R.C.,_c._102.xml","1977-12-31",NA,1977-12-31,"AERONAUTICS ACT","no","0",444,1,2,0.225225225225225,0.45045045045045,0.666666666666667,0,0,0,0,1,0.225225225225225,1,0.225225225225225,14888,0,0
"7","C.R.C., c. 1021","Lands Surveys Tariff","Tariff of Fees to be Charged by the Department of Energy, Mines and Resources for Copies of Maps, Plans, Field Notes, or any Other Type of Record or<U+00A0> Document Arising from or Respecting Surveys Under the Canada Lands Surveys Act","ftp://205.193.86.89/Consolidation_Regs_1.2.0/EN/C.R.C.,_c._1021.xml","1977-12-31",NA,1977-12-31,"CANADA LANDS SURVEYS ACT","no","0",151,2,1,1.32450331125828,0.662251655629139,1.5,0,0,0,0,0,0,4,2.64900662251656,14888,0,0
"8","C.R.C., c. 1022","Lieutenant Governors Superannuation Regulations","Regulations Made Pursuant to the Lieutenant Governors Superannuation Act","ftp://205.193.86.89/Consolidation_Regs_1.2.0/EN/C.R.C.,_c._1022.xml","1977-12-31",NA,1977-12-31,"LIEUTENANT GOVERNORS SUPERANNUATION ACT","no","0",1193,11,9,0.922045264040235,0.754400670578374,1.2,2,0,0.167644593461861,0,3,0.251466890192791,33,2.7661357921207,14888,4,0.335289186923722
"9","C.R.C., c. 1023","Hatchery Regulations","Regulations Respecting the Improvement of Poultry Stock and the Eradication of Disease in Poultry Stock","ftp://205.193.86.89/Consolidation_Regs_1.2.0/EN/C.R.C.,_c._1023.xml","1977-12-31",NA,1977-12-31,"HEALTH OF ANIMALS ACT","no","0",1680,29,8,1.72619047619048,0.476190476190476,3.33333333333333,3,0,0.178571428571429,0,4,0.238095238095238,12,0.714285714285714,14888,3,0.178571428571429
"11","C.R.C., c. 1027","Feed Grain Transportation and Storage Assistance Regulations","Regulations Prescribing Terms, Conditions and Rates of Payments Related to the Cost of Feed Grain Transportation and Storage, Made for the Benefit of Livestock Feeders in Eastern Canada, British Columbia, the Yukon Territory and the Northwest Territories","ftp://205.193.86.89/Consolidation_Regs_1.2.0/EN/C.R.C.,_c._1027.xml","1977-12-31",NA,1977-12-31,"LIVESTOCK FEED ASSISTANCE ACT","no","0",1379,14,2,1.01522842639594,0.145032632342277,5,4,0,0.290065264684554,0,8,0.580130529369108,20,1.45032632342277,14888,0,0
"12","C.R.C., c. 103","Prince George Airport Zoning Regulations","Regulations Respecting Zoning at Prince George Airport","ftp://205.193.86.89/Consolidation_Regs_1.2.0/EN/C.R.C.,_c._103.xml","1977-12-31",NA,1977-12-31,"AERONAUTICS ACT","no","0",1862,1,2,0.0537056928034372,0.107411385606874,0.666666666666667,0,0,0,0,0,0,9,0.483351235230934,14888,0,0
"13","C.R.C., c. 1033",NA,"Members of Parliament Retiring Allowances Regulations","ftp://205.193.86.89/Consolidation_Regs_1.2.0/EN/C.R.C.,_c._1033.xml","1977-12-31",NA,1977-12-31,"MEMBERS OF PARLIAMENT RETIRING ALLOWANCES ACT","no","2",2613,21,14,0.803673938002296,0.535782625334864,1.46666666666667,3,5,0.114810562571757,0.191350937619594,10,0.382701875239189,78,2.98507462686567,14888,1,0.0382701875239189
"14","C.R.C., c. 1035","Migratory Birds Regulations","Regulations Respecting the Protection of Migratory Birds","ftp://205.193.86.89/Consolidation_Regs_1.2.0/EN/C.R.C.,_c._1035.xml","1977-12-31",NA,2005-07-13,"MIGRATORY BIRDS CONVENTION ACT, 1994","no","1",9333,80,56,0.857173470481089,0.600021429336762,1.42105263157895,61,15,0.65359477124183,0.160720025715204,41,0.439301403621558,154,1.6500589306761,4832,57,0.610736097717776
"15","C.R.C., c. 1036","Migratory Bird Sanctuary Regulations","Regulations Prescribing Migratory Bird Sanctuaries and Providing for their Control and Management","ftp://205.193.86.89/Consolidation_Regs_1.2.0/EN/C.R.C.,_c._1036.xml","1977-12-31",NA,1977-12-31,"MIGRATORY BIRDS CONVENTION ACT, 1994","no","0",1113,9,15,0.808625336927224,1.34770889487871,0.625,8,1,0.718778077268643,0.0898472596585804,6,0.539083557951482,10,0.898472596585804,14888,2,0.179694519317161
"16","C.R.C., c. 1038","Motor Vehicle Safety Regulations","Regulations Respecting Safety for Motor Vehicles and Motor Vehicle Components","ftp://205.193.86.89/Consolidation_Regs_1.2.0/EN/C.R.C.,_c._1038.xml","1977-12-31",NA,2005-11-30,"MOTOR VEHICLE SAFETY ACT","no","197",20762,91,41,0.438300741739717,0.197476158366246,2.19047619047619,31,20,0.149311241691552,0.0963298333493883,23,0.110779308351797,203,0.977747808496291,4692,47,0.226375108371063
"17","C.R.C., c. 104","Quebec Airport Zoning Regulations","Regulations Respecting Zoning at Quebec Airport","ftp://205.193.86.89/Consolidation_Regs_1.2.0/EN/C.R.C.,_c._104.xml","1977-12-31",NA,1977-12-31,"AERONAUTICS ACT","no","0",1659,1,2,0.0602772754671489,0.120554550934298,0.666666666666667,0,0,0,0,0,0,43,2.5919228450874,14888,0,0
"18","C.R.C., c. 1041","Narcotic Control Regulations","Regulations Respecting the Control of Narcotics","ftp://205.193.86.89/Consolidation_Regs_1.2.0/EN/C.R.C.,_c._1041.xml","1977-12-31",NA,2005-09-21,"CONTROLLED DRUGS AND SUBSTANCES ACT","no","5",18097,150,80,0.828866662982815,0.442062220257501,1.8641975308642,53,23,0.292866220920595,0.127092888324032,39,0.215505332375532,391,2.16057910150854,4762,89,0.49179422003647
"19","C.R.C., c. 1044","National Capital Commission Traffic and Property Regulations","Regulations Respecting the Property of the National Capital Commission and the Operation of Vehicles Thereon","ftp://205.193.86.89/Consolidation_Regs_1.2.0/EN/C.R.C.,_c._1044.xml","1977-12-31",NA,1977-12-31,"NATIONAL CAPITAL ACT","no","0",2616,46,9,1.75840978593272,0.344036697247706,4.7,24,3,0.91743119266055,0.114678899082569,4,0.152905198776758,19,0.726299694189602,14888,12,0.458715596330275
"20","C.R.C., c. 1045","Canadian Forces Dental Treatment by Civilians Regulations","Regulations Respecting Dental Treatment by Civilian Practitioners for Personnel of the Canadian Forces","ftp://205.193.86.89/Consolidation_Regs_1.2.0/EN/C.R.C.,_c._1045.xml","1977-12-31",NA,1977-12-31,"NATIONAL DEFENCE ACT","no","0",381,6,5,1.5748031496063,1.31233595800525,1.16666666666667,1,1,0.26246719160105,0.26246719160105,1,0.26246719160105,1,0.26246719160105,14888,0,0
"22","C.R.C., c. 1048","Estates Regulations","Regulations Respecting the Administration and Distribution of the Estates of Deceased Members of the Canadian Forces","ftp://205.193.86.89/Consolidation_Regs_1.2.0/EN/C.R.C.,_c._1048.xml","1977-12-31",NA,1977-12-31,"NATIONAL DEFENCE ACT","no","0",760,12,6,1.57894736842105,0.789473684210526,1.85714285714286,2,2,0.263157894736842,0.263157894736842,1,0.131578947368421,1,0.131578947368421,14888,3,0.394736842105263
"23","C.R.C., c. 1049","Military Rules of Evidence","Regulations Respecting the Rules of Evidence at Trial by Court Martial","ftp://205.193.86.89/Consolidation_Regs_1.2.0/EN/C.R.C.,_c._1049.xml","1977-12-31",NA,1977-12-31,"NATIONAL DEFENCE ACT","no","1",13443,96,121,0.714126311091274,0.900096704604627,0.795081967213115,88,23,0.654615785167001,0.171092762032284,36,0.267797366659228,218,1.62166183143644,14888,35,0.260358550918694
"24","C.R.C., c. 105","Regina Airport Zoning Regulations","Regulations Respecting Zoning at Regina Airport","ftp://205.193.86.89/Consolidation_Regs_1.2.0/EN/C.R.C.,_c._105.xml","1977-12-31",NA,1977-12-31,"AERONAUTICS ACT","no","0",1743,2,3,0.114744693057946,0.172117039586919,0.75,0,0,0,0,0,0,41,2.35226620768789,14888,1,0.057372346528973
"25","C.R.C., c. 1050","Reserve Forces Training Leave Regulations","Regulations Respecting Training Leave for Reserve Forces","ftp://205.193.86.89/Consolidation_Regs_1.2.0/EN/C.R.C.,_c._1050.xml","1977-12-31",NA,1977-12-31,"NATIONAL DEFENCE ACT","no","0",646,12,7,1.85758513931889,1.08359133126935,1.625,4,1,0.619195046439629,0.154798761609907,9,1.39318885448916,14,2.1671826625387,14888,2,0.309597523219814
"27","C.R.C., c. 1058","Oil Pipeline Uniform Accounting Regulations","Regulations Respecting the Uniform System of Accounts of Oil Pipeline Companies","ftp://205.193.86.89/Consolidation_Regs_1.2.0/EN/C.R.C.,_c._1058.xml","1977-12-31",NA,1977-12-31,"NATIONAL ENERGY BOARD ACT","no","0",10971,278,35,2.53395314921156,0.319022878497858,7.75,25,51,0.227873484641327,0.464861908668307,10,0.0911493938565309,126,1.14848236259229,14888,102,0.929723817336615
"28","C.R.C., c. 106","Resolute Bay Airport Zoning Regulations","Regulations Respecting Zoning at Resolute Bay Airport","ftp://205.193.86.89/Consolidation_Regs_1.2.0/EN/C.R.C.,_c._106.xml","1977-12-31",NA,1977-12-31,"AERONAUTICS ACT","no","0",427,1,2,0.234192037470726,0.468384074941452,0.666666666666667,0,0,0,0,0,0,1,0.234192037470726,14888,0,0
"29","C.R.C., c. 109","Sault Ste.<U+00A0>Marie Airport Zoning Regulations","Regulations Respecting Zoning at Sault Ste.<U+00A0>Marie Airport","ftp://205.193.86.89/Consolidation_Regs_1.2.0/EN/C.R.C.,_c._109.xml","1977-12-31",NA,1977-12-31,"AERONAUTICS ACT","no","0",837,1,3,0.1194743130227,0.3584229390681,0.5,3,0,0.3584229390681,0,0,0,16,1.9115890083632,14888,0,0
"31","C.R.C., c. 1107","N.H.A. Maximum Interest Rates Regulations","Regulations Respecting the Maximum Interest Rates Payable on Loans Made Under the National Housing Act","ftp://205.193.86.89/Consolidation_Regs_1.2.0/EN/C.R.C.,_c._1107.xml","1977-12-31",NA,1977-12-31,"NATIONAL HOUSING ACT","no","0",575,2,1,0.347826086956522,0.173913043478261,1.5,0,0,0,0,0,0,4,0.695652173913043,14888,5,0.869565217391304
"32","C.R.C., c. 111","St. Hubert Airport Zoning Regulations","Regulations Respecting Zoning at St.<U+00A0>Hubert Airport","ftp://205.193.86.89/Consolidation_Regs_1.2.0/EN/C.R.C.,_c._111.xml","1977-12-31",NA,1977-12-31,"AERONAUTICS ACT","no","0",479,1,2,0.208768267223382,0.417536534446764,0.666666666666667,1,0,0.208768267223382,0,0,0,1,0.208768267223382,14888,0,0
"33","C.R.C., c. 1111",NA,"Town of Jasper Zoning Regulations","ftp://205.193.86.89/Consolidation_Regs_1.2.0/EN/C.R.C.,_c._1111.xml","1977-12-31",NA,2004-12-29,"CANADA NATIONAL PARKS ACT","no","0",11022,113,22,1.02522228270731,0.199600798403194,4.95652173913043,33,6,0.29940119760479,0.0544365813826892,19,0.172382507711849,89,0.807475957176556,5028,31,0.281255670477227
"35","C.R.C., c. 1114","National Parks Building Regulations","Regulations Respecting the Construction and Maintenance of Buildings in the National Parks of Canada","ftp://205.193.86.89/Consolidation_Regs_1.2.0/EN/C.R.C.,_c._1114.xml","1977-12-31",NA,1977-12-31,"CANADA NATIONAL PARKS ACT","no","1",2208,38,13,1.72101449275362,0.588768115942029,2.78571428571429,17,3,0.769927536231884,0.135869565217391,9,0.407608695652174,47,2.1286231884058,14888,6,0.271739130434783
